amr,V_star,span_K,Qc_W,point_role
A,0.16,2.41,2.69,intermediate
A,0.16,6.0,1.98,intermediate
A,0.16,15.9,0.0,shared_endpoint_with_B
B,0.16,2.62,3.53,intermediate
B,0.16,4.53,2.99,intermediate
B,0.16,6.25,2.42,intermediate
B,0.16,11.45,1.18,intermediate
B,0.16,15.9,0.0,shared_endpoint_with_A
F,0.16,1.77,1.98,intermediate
F,0.16,2.8,1.71,intermediate
F,0.16,4.92,1.11,intermediate
F,0.16,9.85,0.05,endpoint
A,0.42,2.24,5.12,intermediate
A,0.42,13.38,1.94,intermediate
A,0.42,19.08,0.08,endpoint
B,0.42,1.06,6.65,intermediate
B,0.42,4.3,4.63,intermediate
B,0.42,8.41,2.0,intermediate
B,0.42,11.05,0.08,endpoint
F,0.42,4.87,4.34,intermediate
F,0.42,7.35,2.55,intermediate
F,0.42,11.73,1.14,intermediate
F,0.42,14.69,0.06,endpoint
A,0.95,7.26,5.27,intermediate
A,0.95,12.23,2.03,intermediate
A,0.95,14.75,0.0,shared_endpoint_with_F
B,0.95,1.54,6.84,intermediate
B,0.95,2.54,4.84,intermediate
B,0.95,3.76,2.43,intermediate
B,0.95,4.96,0.08,endpoint
F,0.95,7.07,4.07,intermediate
F,0.95,12.85,0.97,intermediate
F,0.95,14.75,0.0,shared_endpoint_with_A
