amr,V_star,span_K,COP,point_role
A,0.16,2.4,15.07,intermediate
A,0.16,5.94,9.24,intermediate
A,0.16,15.64,0.46,shared_endpoint_with_B
B,0.16,2.6,23.41,intermediate
B,0.16,4.46,16.57,intermediate
B,0.16,6.2,11.54,intermediate
B,0.16,11.69,4.06,intermediate
B,0.16,15.64,0.46,shared_endpoint_with_A
F,0.16,1.75,9.47,intermediate
F,0.16,2.81,7.36,intermediate
F,0.16,4.87,5.49,intermediate
F,0.16,9.72,0.27,endpoint
A,0.42,2.27,16.23,intermediate
A,0.42,13.4,4.5,intermediate
A,0.42,18.9,0.21,endpoint
B,0.42,1.09,33.36,intermediate
B,0.42,4.3,16.74,intermediate
B,0.42,8.56,4.49,intermediate
B,0.42,11.05,0.31,endpoint
F,0.42,4.9,7.14,intermediate
F,0.42,7.41,4.97,intermediate
F,0.42,11.78,2.3,intermediate
F,0.42,14.48,0.24,endpoint
A,0.95,7.35,5.38,intermediate
A,0.95,11.88,2.13,intermediate
A,0.95,14.7,0.5,shared_endpoint_with_F_approx
B,0.95,1.64,15.37,intermediate
B,0.95,2.57,9.8,intermediate
B,0.95,3.78,4.29,intermediate
B,0.95,4.95,0.33,endpoint
F,0.95,4.78,4.39,uncertain_no_fig10_counterpart
F,0.95,7.12,3.21,intermediate
F,0.95,12.15,1.52,intermediate
F,0.95,14.7,0.5,shared_endpoint_with_A_approx
