span_K,VaporCompression_COP,LiquidCooling_COP,AMR_1stage_COP,AMR_1stage_Qc_W,AMR_2stage_COP,AMR_2stage_Qc_W,AMR_3stage_COP,AMR_3stage_Qc_W,AMR_4stage_COP,AMR_4stage_Qc_W
5,24.46,24.78,5.42,1095.9,3.97,1309.5,2.79,1422.8,2.231,1479.5
6,20.38,23.15,6.285,1518.6,3.744,1241.8,2.841,1377.4,2.2,1445.5
7,17.47,21.99,6.796,1953.5,3.529,1174.2,2.831,1332.2,2.184,1411.4
8,15.29,21.11,6.167,1720.6,3.322,1106.7,2.709,1286.9,2.181,1377.4
9,13.59,20.43,5.561,1488.6,3.121,1039.4,2.591,1241.8,2.167,1343.5
10,12.23,19.89,4.96,1257.5,3.054,1095.9,2.475,1196.7,2.086,1309.5
11,11.12,19.45,4.343,1027.2,3.07,1281.3,2.36,1151.7,2.006,1275.6
12,10.19,19.08,3.682,797.9,3.056,1518.6,2.247,1106.7,1.927,1241.8
13,9.41,18.76,2.934,569.5,3.009,1847.5,2.134,1061.9,1.849,1208.0
14,8.73,18.49,2.028,342.1,2.836,1953.5,2.021,1017.0,1.77,1174.2
15,8.15,18.26,0.823,115.7,2.581,1837.0,1.96,1095.9,1.69,1140.5
16,7.64,18.06,,,2.304,1720.6,1.895,1212.0,1.609,1106.7
17,7.19,17.88,,,1.987,1604.5,1.815,1359.4,1.527,1073.1
18,6.79,17.72,,,1.604,1488.6,1.709,1518.6,1.441,1039.4
19,6.44,17.57,,,1.099,1372.9,1.578,1722.4,1.356,1025.2
20,6.11,17.45,,,0.335,1257.5,1.41,1991.9,1.279,1095.9
