span_K,Tc_K,Th_K,AMR_COP_ideal,AMR_COP_electrical,AMR_Qc_W,AMR_2ndlaw_eff,VaporCompression_COP,LiquidCooling_COP,Carnot_COP
5,291.15,296.15,30.28,5.46,1221.0,0.52,24.46,24.78,58.23
6,291.15,297.15,25.23,5.27,1231.1,0.52,20.38,23.15,48.52
7,291.15,298.15,21.63,5.1,1248.5,0.52,17.47,21.99,41.59
8,291.15,299.15,18.92,4.93,1248.0,0.52,15.29,21.11,36.39
9,291.15,300.15,16.82,4.77,1207.6,0.52,13.59,20.43,32.35
10,291.15,301.15,15.14,4.63,1118.5,0.52,12.23,19.89,29.12
11,291.15,302.15,13.76,4.49,985.8,0.52,11.12,19.45,26.47
12,291.15,303.15,12.62,4.36,821.8,0.52,10.19,19.08,24.26
13,291.15,304.15,11.65,4.24,638.3,0.52,9.41,18.76,22.4
14,291.15,305.15,10.81,4.12,444.1,0.52,8.73,18.49,20.8
15,291.15,306.15,10.09,4.01,244.6,0.52,8.15,18.26,19.41
16,291.15,307.15,9.46,3.91,42.9,0.52,7.64,18.06,18.2
17,291.15,308.15,0.0,0.0,0.0,0.0,7.19,17.88,17.13
18,291.15,309.15,0.0,0.0,0.0,0.0,6.79,17.72,16.17
19,291.15,310.15,0.0,0.0,0.0,0.0,6.44,17.57,15.32
20,291.15,311.15,0.0,0.0,0.0,0.0,6.11,17.45,14.56
