span_K,Tc_K,Th_K,AMR_COP_ideal,AMR_COP_electrical,AMR_Qc_W,AMR_2ndlaw_eff,AMR_n_stages,VaporCompression_COP,LiquidCooling_COP,Carnot_COP,Elastocaloric_COP_ref
5,291.15,296.15,30.28,5.46,1228.5,0.52,1,24.46,24.78,58.23,4.63
6,291.15,297.15,25.23,5.27,1486.2,0.52,1,20.38,23.15,48.52,4.63
7,291.15,298.15,21.63,5.1,1694.0,0.52,1,17.47,21.99,41.59,4.63
8,291.15,299.15,18.92,4.93,1483.2,0.52,1,15.29,21.11,36.39,4.63
9,291.15,300.15,16.82,4.77,1281.1,0.52,1,13.59,20.43,32.35,4.63
10,291.15,301.15,15.14,4.63,1087.5,0.52,1,12.23,19.89,29.12,4.63
11,291.15,302.15,13.76,4.49,902.3,0.52,1,11.12,19.45,26.47,4.63
12,291.15,303.15,12.62,4.36,725.4,0.52,1,10.19,19.08,24.26,4.63
13,291.15,304.15,11.65,4.24,556.6,0.52,1,9.41,18.76,22.4,4.63
14,291.15,305.15,10.81,4.12,395.7,0.52,1,8.73,18.49,20.8,4.63
15,291.15,306.15,10.09,4.01,242.7,0.52,1,8.15,18.26,19.41,4.63
16,291.15,307.15,9.46,3.91,97.2,0.52,1,7.64,18.06,18.2,4.63
17,291.15,308.15,9.03,2.43,1381.1,0.527,2,7.19,17.88,17.13,4.63
18,291.15,309.15,8.54,2.4,1281.1,0.528,2,6.79,17.72,16.17,4.63
19,291.15,310.15,8.1,2.36,1183.2,0.528,2,6.44,17.57,15.32,4.63
20,291.15,311.15,7.7,2.33,1087.5,0.529,2,6.11,17.45,14.56,4.63
