span_K,COP_electrical_mean,COP_electrical_p05,COP_electrical_p95,Qc_mean_W,Qc_p05_W,Qc_p95_W
5,2.077,1.65,2.637,1189.1,1189.1,1189.1
6,2.648,2.196,3.166,1672.7,1672.7,1672.7
7,3.157,2.506,3.829,2191.4,2191.4,2191.4
8,2.854,2.34,3.413,1949.8,1949.8,1949.8
9,2.558,2.142,3.035,1709.2,1709.2,1709.2
10,2.265,1.875,2.729,1469.4,1469.4,1469.4
11,1.97,1.601,2.462,1230.6,1230.6,1230.6
12,1.669,1.309,2.199,992.8,992.8,992.8
13,1.354,1.015,1.993,756.0,756.0,756.0
14,1.016,0.714,1.742,520.2,520.2,520.2
15,0.641,0.402,1.392,285.6,285.6,285.6
16,0.19,0.076,0.426,52.0,52.0,52.0
17,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan,nan
20,nan,nan,nan,nan,nan,nan
