span_K,Graded_1stage_COP,Graded_1stage_Qc_W,Graded_1stage_n_fallback_to_Gd,Graded_2stage_COP,Graded_2stage_Qc_W,Graded_2stage_n_fallback_to_Gd,Graded_3stage_COP,Graded_3stage_Qc_W,Graded_3stage_n_fallback_to_Gd,Graded_4stage_COP,Graded_4stage_Qc_W,Graded_4stage_n_fallback_to_Gd
5,10.147,2127.6,0,6.125,2520.4,0,4.38,2641.1,0,3.409,2707.6,0
6,9.49,1978.3,0,5.886,2437.4,0,4.258,2594.4,0,3.335,2675.6,0
7,8.906,1821.2,0,5.666,2363.7,0,4.143,2545.3,0,3.264,2636.3,0
8,8.381,1663.4,0,5.46,2280.3,0,4.033,2486.6,0,3.196,2594.4,0
9,7.907,1509.2,0,5.269,2206.5,0,3.93,2437.4,0,3.131,2552.8,0
10,7.473,1352.3,0,5.091,2127.6,0,3.831,2388.1,0,3.069,2520.4,0
11,7.071,1195.3,0,4.923,2051.7,0,3.738,2339.2,0,3.009,2478.8,0
12,6.693,1040.3,0,4.766,1978.3,0,3.62,2280.3,1,2.934,2437.4,1
13,6.337,893.0,0,4.618,1894.9,0,3.528,2231.1,1,2.874,2395.5,1
14,5.979,735.9,0,4.393,1821.2,1,3.439,2181.9,1,2.816,2363.7,1
15,5.608,581.3,0,4.234,1737.5,1,3.351,2127.6,1,2.76,2322.0,1
16,5.183,423.8,0,4.074,1663.4,1,3.265,2076.6,1,2.689,2280.3,2
17,4.604,267.4,0,3.903,1583.1,1,3.179,2027.0,1,2.631,2248.4,2
18,3.412,109.8,0,3.707,1509.2,1,3.092,1978.3,1,2.573,2206.5,2
19,,,0,3.445,1435.8,1,3.0,1919.5,1,2.514,2165.1,2
20,,,1,2.955,1352.3,1,2.872,1870.2,2,2.454,2127.6,2
