family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
Mn1-xCuxCoGe,1,2.141,0.491,0.4887,2.14,0.621,0.487,1.2396,8.982,6257.5,2669.6
Mn1-xCuxCoGe,1,2.958,3.838,0.4904,7.02,0.662,0.421,1.5926,2.955,16194.7,12029.6
Mn1-xCuxCoGe,1,2.897,4.168,0.4231,1.89,0.771,0.464,0.4749,2.052,11630.0,3169.4
Mn1-xCuxCoGe,1,2.619,1.324,0.4937,5.59,0.696,0.409,1.2218,8.117,12153.0,8491.2
Mn1-xCuxCoGe,1,2.183,1.186,0.4875,2.07,0.717,0.486,1.2396,7.252,6450.3,2634.9
Mn1-xCuxCoGe,1,2.886,1.524,0.4951,7.84,0.856,0.419,1.3918,7.629,14992.7,13111.4
Mn1-xCuxCoGe,1,2.835,0.471,0.4904,5.0,0.662,0.421,1.5511,10.017,11155.4,8220.7
Mn1-xCuxCoGe,1,1.229,4.96,0.494,2.14,0.698,0.397,1.2396,1.885,2657.0,1545.6
Mn1-xCuxCoGe,1,2.696,1.455,0.4888,2.13,0.612,0.487,1.9203,5.999,8027.5,3330.1
Mn1-xCuxCoGe,1,2.871,0.305,0.4904,2.14,0.611,0.487,1.9152,9.135,8723.7,3565.9
Mn1-xCuxCoGe,1,2.847,1.321,0.4904,5.0,0.662,0.421,1.5511,7.874,12856.5,8254.8
Mn1-xCuxCoGe,1,1.146,0.313,0.4945,2.11,0.721,0.389,1.1833,9.92,1585.2,1429.2
Mn1-xCuxCoGe,1,2.153,0.537,0.4938,5.67,0.709,0.392,1.9663,9.835,7505.3,7108.3
Mn1-xCuxCoGe,1,2.627,3.784,0.4938,6.68,0.659,0.445,1.9549,3.122,13477.0,10180.8
