family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
"La(Fe,Si)13Hy",1,1.265,1.313,0.4907,10.52,0.824,0.412,1.7137,10.261,34690.7,1906.7
"La(Fe,Si)13Hy",1,1.219,1.234,0.4426,10.52,0.779,0.412,1.9804,10.268,31228.7,1845.9
"La(Fe,Si)13Hy",1,1.217,1.587,0.4974,14.46,0.606,0.421,1.7341,9.981,36809.9,2532.7
"La(Fe,Si)13Hy",1,1.583,0.506,0.499,14.31,0.621,0.421,1.615,10.503,32425.6,3175.5
"La(Fe,Si)13Hy",1,2.15,0.559,0.4913,2.79,0.826,0.388,1.7236,10.071,24875.3,821.7
"La(Fe,Si)13Hy",1,1.588,3.565,0.4816,7.18,0.621,0.424,0.5879,7.969,36763.8,1598.4
"La(Fe,Si)13Hy",1,1.586,2.708,0.499,14.74,0.607,0.421,1.7341,8.565,38325.5,3274.7
"La(Fe,Si)13Hy",1,1.633,0.899,0.4999,14.8,0.908,0.415,0.5769,10.202,36439.1,3377.1
"La(Fe,Si)13Hy",1,1.586,2.708,0.4933,7.45,0.614,0.422,1.3625,8.906,36325.6,1655.5
"La(Fe,Si)13Hy",1,1.171,0.464,0.499,1.43,0.719,0.421,1.615,10.29,23262.4,242.3
"La(Fe,Si)13Hy",1,1.592,0.545,0.4913,3.98,0.826,0.42,0.5718,10.371,27475.8,887.1
"La(Fe,Si)13Hy",1,1.245,0.414,0.4972,7.39,0.735,0.412,1.9804,10.388,26578.7,1321.3
"La(Fe,Si)13Hy",1,2.152,2.773,0.4912,2.8,0.823,0.423,1.7625,7.528,30115.6,824.3
"La(Fe,Si)13Hy",1,1.569,1.575,0.4967,7.52,0.78,0.412,1.7492,9.965,34339.1,1655.2
"La(Fe,Si)13Hy",2,1.561,1.509,0.4914,14.79,0.85,0.445,0.5912,6.542,41991.1,6476.7
"La(Fe,Si)13Hy",2,1.254,4.177,0.4742,3.27,0.787,0.44,1.3017,5.412,36880.1,1176.2
"La(Fe,Si)13Hy",2,1.193,2.56,0.4998,5.4,0.783,0.441,1.9186,6.506,38412.4,1858.2
"La(Fe,Si)13Hy",2,1.298,1.573,0.4911,3.59,0.85,0.45,0.5909,6.87,33212.6,1332.2
"La(Fe,Si)13Hy",2,1.298,1.573,0.4911,8.21,0.85,0.45,0.5909,6.832,39251.6,3044.0
"La(Fe,Si)13Hy",2,1.694,1.538,0.4923,2.65,0.779,0.45,0.5894,6.575,30442.5,1251.3
"La(Fe,Si)13Hy",2,1.697,1.575,0.4923,8.21,0.85,0.45,0.5893,6.63,39723.3,3878.6
"La(Fe,Si)13Hy",2,1.291,0.558,0.4978,4.11,0.786,0.421,1.3017,7.364,30703.6,1518.4
"La(Fe,Si)13Hy",2,1.561,4.079,0.4914,14.46,0.854,0.445,0.5769,4.507,43470.7,6335.0
"La(Fe,Si)13Hy",2,2.463,3.686,0.4946,8.02,0.621,0.421,0.2278,3.768,44906.3,5357.8
"La(Fe,Si)13Hy",2,2.463,3.686,0.4946,5.33,0.631,0.421,0.3202,3.869,43711.0,3562.0
"La(Fe,Si)13Hy",3,1.688,1.538,0.4911,7.91,0.763,0.407,0.5909,5.14,42501.6,5578.6
"La(Fe,Si)13Hy",3,1.331,3.75,0.4919,3.59,0.629,0.393,0.9245,4.228,41046.8,2041.8
"La(Fe,Si)13Hy",3,2.807,2.632,0.4934,14.43,0.882,0.388,0.5236,3.217,46539.4,16362.6
"La(Fe,Si)13Hy",3,1.561,2.624,0.4939,7.78,0.89,0.415,1.9445,4.542,43091.5,5112.1
"La(Fe,Si)13Hy",3,1.583,2.608,0.4938,5.39,0.619,0.419,1.7423,4.584,41294.6,3585.5
"La(Fe,Si)13Hy",3,1.585,1.564,0.4929,14.26,0.925,0.45,0.6717,4.923,43602.8,9498.6
"La(Fe,Si)13Hy",3,1.248,3.659,0.4761,2.15,0.638,0.394,1.2569,4.282,34940.2,1155.4
"La(Fe,Si)13Hy",3,2.807,0.987,0.4934,14.43,0.888,0.39,0.2463,4.617,43999.2,16362.6
"La(Fe,Si)13Hy",3,1.734,3.722,0.4911,2.0,0.629,0.394,0.3194,3.597,38629.9,1445.4
"(Mn,Fe)2(P,Si)",1,1.761,0.395,0.2748,14.59,0.913,0.425,1.6656,10.604,4632.7,3567.6
Mn1-xCuxCoGe,1,1.761,0.395,0.2748,14.59,0.913,0.425,1.6656,10.604,4632.7,3567.6
