mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,COP_electrical,Qc_W,cost_index_USD
2.993,1.225,0.5,2.98,0.738,0.418,7.527,13995.86,1128.7
2.981,2.556,0.4982,3.95,0.816,0.416,4.943,17304.78,1490.8
1.117,1.356,0.4983,1.01,0.822,0.415,7.31,2141.25,156.0
2.959,0.797,0.4993,1.0,0.793,0.416,8.56,13319.46,376.2
1.117,3.751,0.4997,1.01,0.798,0.415,2.828,2146.87,156.0
2.989,0.337,0.4994,3.89,0.781,0.414,9.461,14019.31,1472.9
1.196,0.878,0.4998,1.02,0.84,0.416,8.591,2728.56,166.9
2.988,0.53,0.4982,1.09,0.838,0.415,9.117,13496.66,412.6
2.994,1.938,0.4997,1.02,0.841,0.416,5.553,13523.05,385.8
2.992,0.918,0.5,6.73,0.793,0.412,8.612,15835.2,2550.6
2.834,1.614,0.4999,4.88,0.93,0.395,7.016,15508.85,1758.0
2.95,2.046,0.4996,5.45,0.939,0.41,6.118,17433.01,2038.4
2.988,0.829,0.4999,2.32,0.834,0.414,8.538,13895.47,877.8
3.0,1.635,0.4996,11.78,0.731,0.415,7.276,18908.19,4474.2
2.958,0.8,0.4988,5.79,0.724,0.416,8.683,14175.92,2172.3
2.981,3.851,0.4999,2.31,0.844,0.412,2.946,16832.18,873.3
2.996,0.575,0.4992,2.12,0.74,0.415,9.075,13888.75,802.9
2.982,1.371,0.4994,14.27,0.862,0.416,7.955,18813.05,5394.3
2.988,0.67,0.499,2.95,0.834,0.414,8.903,13941.87,1117.1
2.963,0.319,0.4937,2.93,0.712,0.415,9.475,13661.67,1098.9
2.998,0.365,0.5,5.93,0.728,0.414,9.435,14154.22,2253.7
2.988,4.231,0.499,11.69,0.924,0.414,2.89,19649.48,4423.3
3.0,1.195,0.4977,5.79,0.726,0.418,7.991,16281.71,2201.1
2.996,1.78,0.4996,3.0,0.818,0.418,6.242,15016.25,1136.9
1.117,0.328,0.4999,1.01,0.926,0.415,9.435,2147.75,156.1
2.989,0.611,0.4981,11.83,0.816,0.415,9.345,16467.26,4480.9
2.994,0.321,0.4984,1.63,0.73,0.413,9.449,13750.19,619.4
2.563,1.428,0.4674,1.01,0.715,0.416,6.995,10507.93,331.0
2.997,4.241,0.4977,4.29,0.728,0.42,2.746,18577.28,1627.1
2.889,0.315,0.4993,1.0,0.817,0.416,9.431,12955.79,367.8
2.984,1.109,0.4982,4.18,0.839,0.415,7.898,14255.39,1580.0
2.983,2.556,0.4982,14.31,0.816,0.416,5.281,19407.39,5407.1
2.989,1.601,0.4996,2.1,0.818,0.418,6.489,13861.5,794.7
2.993,0.983,0.4981,1.22,0.633,0.416,8.104,13590.84,461.7
2.987,4.154,0.496,1.02,0.829,0.416,2.198,13387.38,385.8
2.989,1.063,0.4685,10.65,0.841,0.422,8.494,16855.64,4032.3
2.996,1.613,0.4999,6.08,0.721,0.416,7.103,17468.52,2308.7
2.993,0.322,0.4999,11.55,0.83,0.414,9.494,14186.04,4380.2
2.99,3.88,0.5,6.86,0.816,0.414,3.199,19167.09,2599.0
2.92,2.508,0.4955,2.21,0.737,0.423,4.657,14572.58,819.0
2.818,1.665,0.4989,10.78,0.933,0.41,7.283,17437.56,3860.7
