material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,2.804,1.407,0.4916,7.17,0.736,0.422,0.7515,7.935,14270.8,11660.9
Gd,2.973,0.302,0.4755,1.24,0.737,0.403,0.7948,10.242,11112.06,2141.4
Gd,2.97,4.87,0.4974,3.55,0.643,0.41,0.4019,2.048,16468.7,6099.8
Gd,2.833,0.573,0.4967,14.16,0.625,0.422,1.6415,10.216,13942.93,23249.2
Gd,2.856,1.725,0.4915,3.81,0.733,0.422,0.1627,6.267,13573.62,6302.9
Gd,2.831,4.729,0.4974,1.51,0.643,0.41,0.4019,1.97,13498.32,2477.1
Gd,2.848,0.314,0.4967,2.66,0.737,0.422,0.7926,10.298,11523.97,4389.8
Gd,2.686,2.979,0.4998,1.04,0.639,0.382,0.5006,3.433,10302.43,1614.0
Gd,2.973,0.313,0.495,3.78,0.622,0.41,0.6898,10.272,12301.51,6508.4
Gd,2.668,1.731,0.478,1.03,0.745,0.448,0.5913,6.036,9680.75,1591.7
Gd,2.899,0.924,0.4967,7.2,0.623,0.415,0.6913,9.108,13865.02,12090.4
Gd,2.804,4.754,0.4967,7.18,0.737,0.426,0.6683,2.277,15930.77,11668.8
Gd,2.833,0.87,0.4967,6.17,0.624,0.41,0.6767,9.12,12641.25,10122.4
Gd,2.996,0.356,0.4963,7.51,0.74,0.407,0.7905,10.141,12544.14,13034.8
Gd,2.902,2.025,0.4966,7.34,0.816,0.422,0.5021,6.225,15836.32,12343.6
Gd,1.374,0.503,0.5,1.24,0.622,0.42,0.6896,9.908,3157.5,999.3
Gd,2.961,1.156,0.4967,14.16,0.625,0.43,1.8056,8.829,16041.02,24283.6
Gd,2.989,0.483,0.4966,1.97,0.635,0.41,0.3136,9.865,12526.21,3417.5
Gd,3.0,2.584,0.4986,2.57,0.618,0.407,0.969,4.383,13868.55,4467.9
Gd,2.893,2.02,0.4971,14.45,0.643,0.423,0.5719,6.346,16590.11,24223.8
Gd,2.983,0.389,0.4998,1.04,0.66,0.382,0.5062,9.945,11724.57,1795.2
