material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",2.84,0.377,0.4987,4.07,0.858,0.417,0.4269,8.694,8060.14,6694.4
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.219,4.172,0.4987,4.09,0.858,0.428,0.4208,3.417,9623.66,2938.1
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",2.983,4.01,0.4999,13.27,0.727,0.416,0.4222,1.259,11401.63,22924.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.174,0.931,0.4999,8.16,0.862,0.417,0.4249,6.224,8684.73,5647.7
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",2.843,1.732,0.4998,7.44,0.707,0.427,0.5251,4.022,10341.83,12248.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",2.862,0.356,0.4999,13.82,0.607,0.417,0.6758,7.072,8474.69,22914.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.194,3.992,0.5,1.62,0.711,0.417,0.4222,4.317,8201.04,1140.8
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.256,2.329,0.4997,7.37,0.691,0.418,1.0905,4.256,9593.57,5447.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.259,0.84,0.4998,2.74,0.706,0.412,0.3912,8.142,7341.18,2029.5
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",2.874,0.926,0.4998,7.44,0.703,0.434,0.6758,5.959,9234.74,12389.5
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",2.579,4.177,0.4987,4.07,0.858,0.417,0.4269,1.836,10470.74,6086.8
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",2.663,4.056,0.4997,8.28,0.632,0.422,0.4246,1.603,11030.08,12793.4
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",2.862,0.917,0.4998,13.82,0.607,0.417,0.6758,5.125,10389.51,22914.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.278,2.457,0.5,1.62,0.71,0.417,0.1705,5.576,7406.96,1217.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",2.832,0.32,0.499,4.47,0.762,0.428,0.5745,8.934,7994.36,7341.2
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.215,0.443,0.4999,1.21,0.846,0.416,0.6045,9.848,7008.57,862.8
