material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.0,2.752,0.4921,7.14,0.875,0.383,1.8261,10.153,33935.55,968.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.221,3.392,0.4985,1.75,0.857,0.387,1.73,8.551,25688.36,286.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.014,1.245,0.4769,14.72,0.696,0.415,1.6851,10.996,34781.15,2020.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.543,2.892,0.4939,14.74,0.701,0.415,1.5238,9.512,38159.54,3017.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.005,2.537,0.4908,7.33,0.712,0.418,1.7127,10.465,34975.24,997.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.562,3.03,0.4908,2.02,0.742,0.376,0.1347,8.199,29809.0,418.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.127,2.17,0.4985,1.75,0.885,0.4,1.6313,9.587,23762.38,265.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.215,4.859,0.4368,2.15,0.854,0.377,0.2903,7.683,29531.13,350.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.543,4.809,0.4939,3.13,0.694,0.419,0.6168,7.24,35730.84,639.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.533,4.918,0.4931,14.74,0.884,0.415,0.0556,4.271,38809.02,2998.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.562,2.867,0.4954,3.4,0.753,0.409,0.3101,9.092,34456.28,704.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.221,3.448,0.4922,7.49,0.741,0.387,1.0237,9.437,35962.04,1226.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.15,4.964,0.4922,14.77,0.757,0.415,1.635,8.671,38049.67,2283.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.009,0.692,0.4663,14.69,0.696,0.418,1.7132,10.99,32057.81,2006.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.004,0.303,0.4949,2.15,0.855,0.417,0.2903,10.511,27379.75,292.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.007,1.171,0.4985,5.15,0.743,0.417,1.7065,10.594,29307.78,702.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.007,0.552,0.4955,1.53,0.687,0.418,1.7125,10.327,22978.89,208.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.005,0.897,0.4907,7.23,0.712,0.418,1.7127,10.734,30021.46,983.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.0,2.752,0.4939,3.2,0.7,0.419,1.8261,10.003,30300.82,433.4
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.004,4.817,0.2868,1.02,0.817,0.535,1.2677,0.0,0.0,150.4
