material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.203,3.151,0.4929,6.23,0.854,0.446,1.7685,8.968,34188.34,1005.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.555,3.838,0.4937,2.27,0.729,0.394,0.5839,7.722,32572.92,467.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.2,3.838,0.4937,4.26,0.896,0.394,0.5902,8.691,35426.48,686.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.561,0.543,0.4977,14.49,0.856,0.446,1.6468,10.345,32106.52,3000.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.119,2.582,0.4355,9.06,0.853,0.393,1.9685,9.3,31454.87,1364.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.175,1.356,0.415,7.04,0.906,0.417,0.5876,10.266,29217.07,1110.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.131,0.433,0.4171,1.68,0.727,0.419,0.9134,10.472,21854.13,255.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.55,0.543,0.4113,14.39,0.854,0.431,1.6339,10.484,27995.42,2960.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.372,0.535,0.252,8.76,0.72,0.42,1.6785,10.507,16992.14,1602.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.129,1.289,0.4916,1.06,0.677,0.395,0.5954,10.125,25558.38,160.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.175,1.5,0.415,4.37,0.906,0.447,0.501,10.01,26668.91,690.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.2,3.838,0.4937,2.27,0.896,0.394,0.5839,8.626,32257.76,365.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.56,2.122,0.4929,14.39,0.752,0.439,1.6718,9.145,36921.27,2978.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.203,3.151,0.4975,4.37,0.73,0.446,1.7685,9.002,32733.25,705.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.112,3.402,0.4877,1.85,0.853,0.395,0.8812,8.952,28757.18,277.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.187,1.45,0.4899,9.28,0.887,0.394,0.5546,10.089,34822.71,1478.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.168,2.241,0.4751,9.08,0.893,0.394,1.8068,9.624,34045.45,1424.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.552,1.295,0.4977,1.04,0.854,0.394,0.5793,9.901,26187.88,213.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.206,3.396,0.49,9.06,0.896,0.424,0.7759,8.804,37253.98,1465.5
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.004,4.817,0.2868,1.02,0.817,0.535,1.2677,0.0,0.0,150.4
