material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.079,2.014,0.4949,3.51,0.733,0.405,0.6287,9.156,31478.71,907.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.002,1.035,0.4963,8.98,0.821,0.43,0.6579,9.439,33542.15,2018.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.031,2.322,0.5,14.48,0.868,0.405,1.0829,8.722,37851.94,3435.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.044,1.065,0.4979,14.08,0.871,0.436,0.6265,9.285,35729.19,3422.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.062,0.485,0.4824,1.65,0.855,0.404,0.625,9.509,25767.22,414.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.925,2.029,0.4983,14.47,0.861,0.427,0.6276,8.23,38669.64,15118.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.012,2.023,0.4979,8.98,0.821,0.436,1.0567,9.105,35861.22,2057.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.011,3.196,0.4993,10.71,0.864,0.435,0.6275,8.359,37711.21,2450.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.007,2.879,0.4963,8.98,0.819,0.43,1.0567,8.702,36786.49,2039.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.059,3.361,0.4968,14.36,0.862,0.405,0.7973,6.601,39328.31,18491.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.911,0.628,0.4968,14.36,0.86,0.403,1.2167,9.462,34121.91,14686.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.01,1.622,0.4963,8.98,0.819,0.43,1.0642,9.306,35248.41,2050.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.175,1.083,0.4969,14.48,0.855,0.419,0.6298,9.308,36358.03,4440.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.478,1.623,0.498,14.92,0.835,0.405,0.6605,8.868,37801.08,7645.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.242,0.581,0.4807,14.45,0.852,0.405,1.2156,9.534,32254.38,4976.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.164,2.851,0.498,2.19,0.852,0.417,0.6305,8.635,30442.71,658.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.078,2.916,0.4979,5.11,0.848,0.409,0.6592,8.815,35727.6,1320.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.01,1.633,0.4979,14.38,0.876,0.405,0.6672,9.074,37227.86,3280.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.174,1.082,0.4967,14.48,0.855,0.419,0.7415,9.344,36286.39,4433.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.475,3.236,0.498,14.92,0.877,0.405,0.6605,7.527,38889.72,7607.0
