material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,2.713,0.319,0.4007,2.29,0.928,0.422,1.9694,10.115,7879.21,3597.4
Gd,2.959,0.319,0.4007,2.3,0.813,0.421,1.2376,10.21,9384.06,3940.7
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.219,1.251,0.4109,1.69,0.623,0.407,1.2157,7.481,5504.81,1211.7
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.508,0.409,0.485,1.47,0.758,0.46,0.4119,9.344,6745.47,1300.4
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.226,0.412,0.4056,1.04,0.643,0.423,1.2605,9.675,5102.86,754.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.185,4.793,0.4852,1.04,0.737,0.353,0.6767,3.168,6238.72,725.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.226,2.957,0.4627,1.04,0.922,0.423,1.2654,4.938,5765.85,753.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.108,1.704,0.4864,6.69,0.875,0.346,1.3544,9.236,28881.13,4297.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.923,1.653,0.4911,6.82,0.81,0.453,0.3882,9.297,34042.97,7558.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.117,4.678,0.4842,2.29,0.81,0.463,0.3933,7.943,31477.98,1480.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.1,1.641,0.4109,2.29,0.81,0.463,0.3937,9.512,21583.21,1458.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.53,1.526,0.485,2.12,0.812,0.464,0.3882,8.443,25943.55,3081.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.105,0.394,0.4202,2.39,0.81,0.461,1.2695,10.058,20650.91,1531.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.15,1.704,0.4197,7.25,0.875,0.397,1.3551,10.032,29539.6,4833.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.008,4.698,0.485,9.32,0.738,0.425,1.9488,5.609,37203.02,10792.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.923,0.484,0.4846,2.46,0.673,0.424,0.4005,10.256,28046.02,4143.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.146,4.811,0.4911,7.03,0.81,0.453,0.3803,7.671,36262.48,4668.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.147,4.7,0.4116,1.55,0.803,0.347,0.1501,6.997,24148.97,1029.4
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.013,1.786,0.4185,1.08,0.811,0.238,0.4446,0.0,0.0,645.0
