Monte Carlo COP/Qc uncertainty, 2000 draws, +/-15% assumed calibration-input noise, at span=10.0K, mu0H=2.0T:
 COP_electrical: mean=2.063  std=0.280  90% CI=[1.673, 2.566]
 Qc (W):         mean=1280.1  std=0.0  90% CI=[1280.1, 1280.1]
 fraction of draws with infeasible/failed COP: 0.0%
 HONEST FRAMING FOR THE PAPER: the +/-15% default is a reasoned assumption, not a source-derived measurement uncertainty (none of the 3 CORE calibration papers report device-level error bars). Report this CI as 'uncertainty under an assumed 15% calibration-input measurement noise', not as a rigorously derived confidence interval, and run a sensitivity check at e.g. 10%/25% to show how the band scales.

Full 5-20K span sweep, 90% CI band:
 span= 5K COP_electrical mean=1.97  90% CI=[1.55, 2.52]
 span= 6K COP_electrical mean=2.48  90% CI=[2.06, 2.96]
 span= 7K COP_electrical mean=2.91  90% CI=[2.40, 3.43]
 span= 8K COP_electrical mean=2.62  90% CI=[2.19, 3.09]
 span= 9K COP_electrical mean=2.33  90% CI=[1.95, 2.77]
 span=10K COP_electrical mean=2.04  90% CI=[1.68, 2.49]
 span=11K COP_electrical mean=1.75  90% CI=[1.38, 2.26]
 span=12K COP_electrical mean=1.44  90% CI=[1.09, 2.06]
 span=13K COP_electrical mean=1.11  90% CI=[0.79, 1.84]
 span=14K COP_electrical mean=0.75  90% CI=[0.49, 1.52]
 span=15K COP_electrical mean=0.34  90% CI=[0.17, 0.80]
 span=16K COP_electrical mean=nan  90% CI=[nan, nan]
 span=17K COP_electrical mean=nan  90% CI=[nan, nan]
 span=18K COP_electrical mean=nan  90% CI=[nan, nan]
 span=19K COP_electrical mean=nan  90% CI=[nan, nan]
 span=20K COP_electrical mean=nan  90% CI=[nan, nan]
