span_K,VaporCompression_COP,LiquidCooling_COP,AMR_1stage_COP,AMR_1stage_Qc_W,AMR_2stage_COP,AMR_2stage_Qc_W,AMR_3stage_COP,AMR_3stage_Qc_W,AMR_4stage_COP,AMR_4stage_Qc_W
5,24.46,24.78,6.657,1168.0,5.468,1370.1,3.904,1482.6,3.213,1539.0
6,20.38,23.15,8.138,1643.1,5.053,1302.8,4.032,1437.5,3.156,1505.1
7,17.47,21.99,9.121,2152.6,4.674,1235.7,4.029,1392.6,3.132,1471.3
8,15.29,21.11,8.076,1915.3,4.324,1168.7,3.79,1347.6,3.139,1437.5
9,13.59,20.43,7.134,1678.9,3.998,1101.8,3.565,1302.8,3.121,1403.8
10,12.23,19.89,6.259,1443.4,3.907,1168.0,3.353,1258.0,2.958,1370.1
11,11.12,19.45,5.423,1208.8,3.96,1374.8,3.151,1213.3,2.803,1336.4
12,10.19,19.08,4.593,975.2,3.964,1643.1,2.958,1168.7,2.654,1302.8
13,9.41,18.76,3.734,742.6,3.919,2020.2,2.772,1124.1,2.51,1269.2
14,8.73,18.49,2.799,511.0,3.665,2152.6,2.591,1079.6,2.371,1235.7
15,8.15,18.26,1.717,280.5,3.294,2033.8,2.505,1168.0,2.235,1202.1
16,7.64,18.06,0.361,51.1,2.914,1915.3,2.415,1297.5,2.101,1168.7
17,7.19,17.88,,,2.514,1797.0,2.306,1462.2,1.969,1135.2
18,6.79,17.72,,,2.073,1678.9,2.165,1643.1,1.837,1101.8
19,6.44,17.57,,,1.561,1561.0,1.995,1876.3,1.712,1089.3
20,6.11,17.45,,,0.918,1443.4,1.789,2187.3,1.607,1168.0
