span_K,Tc_K,Th_K,AMR_COP_ideal,AMR_COP_electrical,AMR_Qc_W,AMR_2ndlaw_eff,AMR_n_stages,VaporCompression_COP,LiquidCooling_COP,Carnot_COP
5,291.15,296.15,30.28,5.46,1042.0,0.52,1,24.46,24.78,58.23
6,291.15,297.15,25.23,5.27,1465.8,0.52,1,20.38,23.15,48.52
7,291.15,298.15,21.63,5.1,1920.3,0.52,1,17.47,21.99,41.59
8,291.15,299.15,18.92,4.93,1708.6,0.52,1,15.29,21.11,36.39
9,291.15,300.15,16.82,4.77,1497.7,0.52,1,13.59,20.43,32.35
10,291.15,301.15,15.14,4.63,1287.6,0.52,1,12.23,19.89,29.12
11,291.15,302.15,13.76,4.49,1078.4,0.52,1,11.12,19.45,26.47
12,291.15,303.15,12.62,4.36,870.0,0.52,1,10.19,19.08,24.26
13,291.15,304.15,11.65,4.24,662.5,0.52,1,9.41,18.76,22.4
14,291.15,305.15,10.81,4.12,455.9,0.52,1,8.73,18.49,20.8
15,291.15,306.15,10.09,4.01,250.2,0.52,1,8.15,18.26,19.41
16,291.15,307.15,9.46,3.91,45.6,0.52,1,7.64,18.06,18.2
17,291.15,308.15,9.03,2.43,1603.1,0.527,2,7.19,17.88,17.13
18,291.15,309.15,8.54,2.4,1497.7,0.528,2,6.79,17.72,16.17
19,291.15,310.15,8.1,2.36,1392.6,0.528,2,6.44,17.57,15.32
20,291.15,311.15,7.7,2.33,1287.6,0.529,2,6.11,17.45,14.56
