mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,COP_electrical,Qc_W,cost_index_USD
2.996,1.921,0.4849,4.39,0.602,0.415,8.195,16549.29,1667.2
2.995,1.213,0.4911,6.71,0.695,0.404,12.308,16605.87,2544.4
2.997,1.951,0.499,1.0,0.883,0.415,6.957,13505.83,380.3
2.995,0.568,0.4988,1.81,0.693,0.414,15.526,13808.06,685.0
2.947,0.569,0.4879,9.27,0.752,0.397,15.888,14472.41,3464.5
2.007,0.3,0.4849,4.39,0.657,0.416,17.092,8119.18,1146.0
2.045,0.301,0.4953,6.85,0.726,0.415,17.117,8567.39,1818.0
2.992,1.419,0.4954,5.86,0.675,0.413,11.056,16811.09,2219.5
1.273,0.655,0.4902,1.09,0.655,0.474,13.867,2914.69,187.8
1.165,0.307,0.4977,4.6,0.634,0.415,17.049,2595.65,735.5
2.783,0.719,0.4905,1.0,0.875,0.414,14.53,12179.81,354.3
2.964,0.342,0.4274,14.47,0.632,0.414,17.248,13208.31,5435.3
2.991,0.881,0.4998,13.72,0.769,0.401,15.053,17925.21,5200.5
2.998,0.301,0.4953,6.85,0.686,0.415,16.98,14038.41,2601.1
2.992,2.811,0.4985,4.59,0.675,0.419,5.357,17997.19,1741.4
2.984,1.892,0.4947,9.7,0.874,0.415,9.031,18534.41,3668.5
1.205,0.302,0.4977,1.53,0.658,0.415,16.968,2825.45,251.6
2.958,1.368,0.4992,1.0,0.752,0.414,10.052,13306.48,375.3
2.992,1.893,0.4983,13.77,0.69,0.415,9.202,19181.48,5218.4
2.997,1.213,0.4998,13.14,0.673,0.413,13.055,18610.3,4989.2
3.0,2.087,0.4981,5.97,0.675,0.413,7.873,18009.19,2266.8
2.955,0.337,0.4977,2.09,0.874,0.422,16.744,13615.74,784.0
2.979,2.609,0.4953,2.79,0.679,0.415,5.492,16109.04,1051.3
2.969,0.715,0.494,11.59,0.624,0.418,15.856,16697.22,4362.2
2.995,0.513,0.4988,13.51,0.693,0.414,16.823,16366.29,5123.6
2.996,1.213,0.4911,4.5,0.695,0.4,11.6,14940.7,1709.1
2.992,1.892,0.4899,2.37,0.692,0.415,7.366,13837.06,899.2
2.941,0.878,0.4883,7.03,0.627,0.401,14.228,15173.21,2620.3
2.995,0.41,0.4992,3.51,0.753,0.422,16.46,14014.98,1331.2
2.995,0.507,0.499,1.21,0.883,0.415,15.813,13618.89,459.8
2.979,0.303,0.4952,1.03,0.729,0.414,16.753,13330.94,389.5
1.946,0.481,0.4977,12.09,0.88,0.415,17.046,8838.21,3065.2
2.991,0.881,0.4999,1.01,0.761,0.401,13.228,13421.1,381.5
2.871,1.212,0.4911,5.99,0.673,0.413,12.346,15487.89,2183.1
2.995,0.944,0.4965,9.2,0.685,0.422,14.331,17043.21,3490.6
2.998,0.492,0.4953,6.14,0.755,0.415,16.075,14025.56,2332.0
1.399,0.655,0.4902,1.1,0.634,0.414,15.497,4091.24,206.8
