material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.02,1.053,0.499,5.21,0.879,0.425,0.5222,9.561,29864.77,719.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.194,0.922,0.4973,3.17,0.728,0.407,0.4652,9.444,27482.57,508.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.19,3.8,0.4973,1.01,0.708,0.417,0.4652,7.831,26663.42,160.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.087,2.399,0.4976,14.51,0.725,0.425,0.752,9.526,38021.42,2127.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.019,0.916,0.1665,3.21,0.905,0.403,1.0781,9.673,10908.53,442.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.005,2.476,0.4957,4.21,0.797,0.429,0.7238,9.404,33704.44,573.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.013,1.079,0.4992,6.79,0.878,0.425,0.5212,9.664,32334.24,931.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.184,0.735,0.4756,11.09,0.853,0.402,1.9262,9.801,31082.3,1763.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.19,4.911,0.4951,3.8,0.878,0.411,0.5095,7.804,36429.72,607.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.07,1.78,0.4942,8.31,0.691,0.403,0.5884,9.651,35600.42,1200.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.076,2.535,0.4973,6.63,0.721,0.429,0.5348,9.388,36206.78,962.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.178,4.126,0.4973,2.97,0.854,0.424,0.6035,8.266,34732.66,469.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.026,0.582,0.499,2.77,0.845,0.424,0.6055,9.553,27181.3,384.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.006,3.72,0.4975,14.05,0.705,0.424,0.6148,9.026,38494.74,1914.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.178,2.535,0.4973,2.82,0.721,0.429,0.534,9.047,31733.39,446.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.013,0.969,0.4973,1.01,0.824,0.407,0.5214,9.466,26248.36,138.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.078,0.813,0.1873,8.37,0.859,0.407,0.6152,9.916,13791.99,1217.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.053,2.919,0.4966,5.26,0.818,0.426,0.3506,9.179,36007.14,748.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.026,0.575,0.499,1.06,0.845,0.424,0.6055,9.524,26113.42,147.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.184,2.421,0.496,1.78,0.853,0.424,0.3453,8.8,27352.26,282.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.077,4.549,0.4973,6.77,0.854,0.424,0.6043,8.427,37663.55,984.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.005,4.992,0.4654,2.38,0.847,0.429,0.7045,8.042,31994.11,324.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.063,0.98,0.4975,14.25,0.695,0.406,1.6721,9.917,35209.35,2046.2
