material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,1.975,0.437,0.4083,12.39,0.614,0.395,1.5724,10.282,6499.64,14252.7
Gd,2.765,0.433,0.362,12.7,0.839,0.415,1.9582,10.376,9673.42,20356.8
Gd,2.804,0.516,0.4881,12.39,0.614,0.395,1.944,10.15,12616.63,20134.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.025,0.639,0.4995,1.03,0.682,0.317,0.0843,6.475,5261.62,624.3
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.079,0.633,0.4983,1.12,0.702,0.42,0.6351,9.598,6859.89,713.8
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.103,0.639,0.4701,1.03,0.682,0.331,0.4487,8.153,5264.46,670.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.48,0.649,0.404,13.49,0.65,0.379,0.2541,9.616,27553.71,11532.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.09,1.424,0.4993,13.17,0.699,0.364,0.2492,8.559,35185.01,15854.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.093,1.429,0.4038,10.44,0.843,0.364,0.5516,8.992,28354.82,12592.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.085,1.51,0.4039,6.31,0.682,0.364,0.2642,9.506,26387.82,3969.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.13,0.673,0.357,1.05,0.94,0.34,0.5043,9.237,16020.92,684.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.14,0.372,0.404,11.08,0.681,0.364,0.5445,9.776,21996.11,7318.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.077,1.459,0.4923,1.27,0.681,0.349,0.5466,9.266,23004.22,795.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.48,0.733,0.3644,1.17,0.649,0.379,0.198,10.047,19661.41,1004.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.81,0.638,0.4961,12.98,0.654,0.36,0.5457,9.654,30862.52,13550.6
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.002,1.212,0.3594,1.01,0.776,0.341,1.7146,0.0,0.0,600.0
