material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.095,4.322,0.4988,3.08,0.641,0.421,0.5497,5.705,9260.42,492.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.147,1.243,0.4816,7.89,0.785,0.421,0.5632,8.957,8770.66,1311.8
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.128,2.406,0.4989,2.07,0.945,0.421,0.5708,7.427,7479.2,339.4
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.126,1.743,0.4982,14.93,0.66,0.421,1.2238,8.87,9840.77,2441.5
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.111,1.217,0.4982,13.94,0.649,0.421,1.9459,9.419,9419.51,2253.1
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.083,4.466,0.4986,6.52,0.815,0.421,0.5497,5.741,9909.68,1030.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.026,1.268,0.4994,11.66,0.662,0.421,0.5719,8.984,9465.81,1757.5
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.484,0.324,0.4987,6.75,0.944,0.421,1.6978,9.45,7202.06,1412.1
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.082,2.161,0.4999,7.43,0.661,0.421,0.5883,8.295,9551.0,1173.7
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.973,4.322,0.4988,8.0,0.641,0.421,0.5497,3.202,10583.02,2172.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.152,2.749,0.4983,4.32,0.929,0.421,0.2895,7.125,9297.79,721.3
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.049,0.377,0.4435,1.22,0.641,0.412,0.5557,9.464,6206.35,188.1
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.082,1.374,0.4987,4.78,0.643,0.413,0.2351,8.114,8336.85,754.3
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.09,0.498,0.4972,14.38,0.817,0.421,1.6351,9.628,8356.99,2285.4
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.032,1.285,0.4435,1.36,0.783,0.412,0.5557,8.808,6228.77,206.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.096,0.3,0.4715,6.33,0.649,0.417,1.7326,9.503,6621.74,1010.8
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.243,2.749,0.4985,8.03,0.654,0.406,0.5636,7.175,9858.29,1433.4
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.987,1.979,0.4958,14.9,0.793,0.417,0.9,6.803,10459.85,4073.4
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.307,2.759,0.4982,14.63,0.66,0.421,0.2675,6.083,10267.62,2730.5
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.089,1.322,0.4986,4.78,0.87,0.401,0.5821,8.864,8124.23,758.3
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",2.174,1.206,0.4987,15.0,0.791,0.419,0.8975,8.138,10312.91,4456.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.349,1.798,0.497,12.05,0.648,0.418,0.6857,8.23,9923.16,2313.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.15,4.352,0.4428,1.37,0.637,0.421,0.5577,4.784,7182.9,228.1
