family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
Gd,1,1.454,2.135,0.4972,2.73,0.614,0.414,1.3622,5.474,7642.9,2325.6
Gd,1,1.296,2.583,0.4896,1.37,0.854,0.421,1.3205,5.319,6304.3,1041.0
Gd,1,1.276,0.755,0.3373,1.19,0.916,0.476,1.1697,8.028,3994.1,895.6
Gd,1,1.352,3.854,0.4886,2.57,0.915,0.405,1.0378,3.754,8548.5,2042.2
Gd,1,1.402,4.03,0.4997,1.02,0.771,0.42,1.2217,3.364,6295.7,836.7
Gd,1,1.29,0.462,0.4896,1.37,0.851,0.421,1.353,9.572,6271.7,1036.5
Gd,2,2.392,0.325,0.491,7.47,0.816,0.416,1.2455,6.117,11867.0,20763.1
Gd,2,1.343,0.302,0.495,1.88,0.818,0.404,1.2454,7.047,10623.7,2972.0
Gd,2,1.482,0.506,0.4912,6.0,0.817,0.402,0.3476,5.522,11652.4,10414.4
Gd,2,1.369,2.527,0.4953,1.87,0.865,0.392,1.1176,3.887,10966.6,3005.5
Gd,2,2.467,1.379,0.4695,7.41,0.85,0.392,1.1547,3.631,14073.9,21226.7
Gd,2,2.764,0.477,0.4929,5.48,0.819,0.433,0.3476,5.567,12220.9,17562.8
Gd,2,1.583,2.526,0.49,2.76,0.687,0.421,0.4043,3.66,13495.6,5109.6
Gd,2,2.56,0.302,0.4905,2.95,0.818,0.417,1.2422,6.815,11468.9,8758.6
Gd,2,1.482,2.918,0.4912,6.0,0.668,0.401,0.3509,2.79,15391.5,10414.4
Gd,2,1.464,3.682,0.465,5.41,0.847,0.415,1.0498,2.331,14517.9,9276.4
Gd,3,1.347,4.856,0.4929,6.38,0.828,0.418,0.2154,1.345,18021.4,15134.3
Gd,3,1.347,2.58,0.4929,6.29,0.854,0.418,0.2203,2.277,17293.4,14927.8
Gd,3,2.219,4.519,0.4916,2.08,0.761,0.416,0.3376,1.18,16443.1,8048.5
Gd,3,2.219,4.605,0.4916,7.35,0.779,0.416,0.3376,0.951,18562.3,28460.9
Gd,3,1.286,0.641,0.491,8.13,0.621,0.444,0.3392,3.693,13686.0,18456.7
Gd,3,1.347,1.468,0.4929,6.24,0.828,0.42,0.3318,3.182,16078.9,14800.3
Gd,3,1.298,0.438,0.4908,2.24,0.817,0.417,0.3695,5.182,12922.1,5115.0
Gd,3,1.177,4.5,0.491,2.15,0.765,0.384,0.3991,2.165,15391.7,4469.2
Gd,3,2.262,0.364,0.4908,2.29,0.619,0.415,1.0307,5.267,12716.1,9020.0
Gd,3,1.288,1.354,0.4867,1.92,0.621,0.415,1.0482,4.215,12031.3,4361.0
Gd,3,1.347,1.468,0.4929,14.53,0.829,0.42,0.3318,2.22,17663.3,34487.7
