family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
"La(Fe,Si)13Hy",1,1.143,1.283,0.4907,14.46,0.698,0.37,0.5899,9.699,34246.8,9753.9
"La(Fe,Si)13Hy",1,1.554,0.506,0.4976,3.53,0.621,0.421,1.7813,10.344,25807.1,3207.6
"La(Fe,Si)13Hy",1,1.224,1.389,0.4908,7.14,0.632,0.384,0.2995,9.851,33126.6,5143.6
"La(Fe,Si)13Hy",1,1.606,3.521,0.4909,8.13,0.624,0.421,0.3513,7.893,37914.6,7642.0
"La(Fe,Si)13Hy",1,2.313,2.483,0.4906,3.39,0.624,0.427,1.3719,7.853,32012.1,4550.8
"La(Fe,Si)13Hy",1,1.224,1.389,0.4235,2.19,0.735,0.384,0.2995,9.79,22874.4,1579.0
"La(Fe,Si)13Hy",1,1.515,3.887,0.4902,1.38,0.622,0.31,1.0618,5.381,18357.7,1221.9
"La(Fe,Si)13Hy",1,1.219,1.263,0.491,7.47,0.699,0.421,1.9424,10.306,32337.7,5363.6
"La(Fe,Si)13Hy",1,1.224,0.52,0.4036,2.19,0.875,0.383,0.2995,10.221,21760.1,1579.2
"La(Fe,Si)13Hy",1,2.193,4.249,0.424,2.13,0.731,0.42,1.4068,5.165,27709.7,2719.0
"La(Fe,Si)13Hy",1,1.212,2.523,0.4911,7.43,0.621,0.421,1.5584,9.571,35367.3,5306.7
"La(Fe,Si)13Hy",1,1.31,2.483,0.4908,9.04,0.624,0.421,0.3513,9.263,37118.3,6957.9
"La(Fe,Si)13Hy",1,1.554,0.501,0.4976,3.53,0.621,0.421,0.3043,10.298,28044.8,3207.6
"La(Fe,Si)13Hy",1,1.564,1.288,0.4908,14.97,0.62,0.428,0.5899,9.897,36820.5,13703.7
"La(Fe,Si)13Hy",2,1.561,2.58,0.4907,7.59,0.778,0.421,1.7098,6.092,41044.8,13860.7
"La(Fe,Si)13Hy",2,1.703,3.763,0.4901,5.27,0.727,0.415,0.476,4.996,42491.5,10489.1
"La(Fe,Si)13Hy",2,1.257,4.402,0.4216,1.87,0.735,0.446,0.7619,5.056,31329.1,2766.0
"La(Fe,Si)13Hy",2,1.277,4.501,0.4932,1.87,0.746,0.446,0.7449,5.147,35780.6,2808.5
"La(Fe,Si)13Hy",2,2.471,1.463,0.4907,8.05,0.909,0.414,1.511,6.408,40274.7,23094.1
"La(Fe,Si)13Hy",2,1.277,4.451,0.4932,3.63,0.746,0.446,0.7368,5.27,39919.8,5456.0
"La(Fe,Si)13Hy",2,1.294,1.571,0.4989,5.27,0.729,0.415,0.476,6.999,38496.7,8018.2
"La(Fe,Si)13Hy",2,1.393,2.972,0.4907,7.43,0.779,0.412,0.2256,5.783,42832.8,12150.6
"La(Fe,Si)13Hy",2,1.256,1.435,0.4945,1.91,0.746,0.424,0.7431,7.051,30493.4,2822.3
"La(Fe,Si)13Hy",3,1.248,4.316,0.4523,4.36,0.712,0.439,0.3046,3.927,40193.1,9609.2
"La(Fe,Si)13Hy",3,1.55,3.641,0.4901,5.21,0.853,0.416,0.6144,3.992,43994.2,14193.1
"La(Fe,Si)13Hy",3,1.212,2.685,0.4923,14.46,0.854,0.369,0.5909,4.355,42956.0,30963.2
"La(Fe,Si)13Hy",3,1.348,1.545,0.4859,14.5,0.629,0.422,1.8936,5.137,43430.0,34432.3
