family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
"(Mn,Fe)2(P,Si)",1,2.548,0.343,0.433,2.77,0.697,0.424,0.4692,10.225,9992.7,4089.8
"(Mn,Fe)2(P,Si)",1,2.684,1.556,0.452,1.15,0.686,0.392,1.0055,6.596,9908.6,1792.4
"(Mn,Fe)2(P,Si)",1,2.854,3.877,0.445,2.23,0.769,0.478,0.3679,2.54,12977.6,3681.5
"(Mn,Fe)2(P,Si)",1,2.544,0.342,0.414,6.87,0.924,0.42,1.438,10.294,9393.3,10136.7
"(Mn,Fe)2(P,Si)",1,2.838,1.521,0.445,7.3,0.769,0.468,0.466,7.182,13937.3,12009.1
"(Mn,Fe)2(P,Si)",1,2.677,0.622,0.4566,7.04,0.753,0.42,1.4424,9.825,11384.9,10930.1
"(Mn,Fe)2(P,Si)",1,2.69,0.395,0.4451,1.01,0.686,0.392,1.3104,9.868,9137.4,1582.1
"(Mn,Fe)2(P,Si)",1,2.916,4.605,0.4176,4.22,0.727,0.381,1.0055,2.088,14554.1,7121.0
"(Mn,Fe)2(P,Si)",1,2.855,3.877,0.4455,4.67,0.746,0.422,0.3888,3.013,15914.3,7731.2
"(Mn,Fe)2(P,Si)",1,2.247,1.55,0.4456,7.96,0.85,0.395,1.3159,7.965,11036.9,10394.6
