candidate,span_K,T_mid_K,Tc_used_K,tc_window,in_range,1stage_COP,2stage_COP,3stage_COP,4stage_COP,1stage_Qc_W,2stage_Qc_W,3stage_Qc_W,4stage_Qc_W
Gd (fixed),5.0,293.6,294.0,n/a (not tunable),True,5.415,3.837,2.681,2.132,1168.0,1370.1,1482.6,1539.0
Gd5Si2Ge2 (fixed comp.),5.0,293.6,276.0,n/a (not tunable),True,,,,,,,,
Gd5(SixGe1-x)4(-Ga) (tuned),5.0,293.6,283.0,20.0-290.0K,True,6.396,,,,2127.6,,,
"La(Fe,Si)13Hy (tuned)",5.0,293.6,283.0,190.0-340.0K,True,8.922,,,0.086,5752.7,,,22.5
"(Mn,Fe)2(P,Si) (tuned)",5.0,293.6,281.2,295.3-331.2K,False,5.415,3.837,2.681,2.132,1168.0,1370.1,1482.6,1539.0
Nanocomposite (LAFESIH 3-phase blend) (tuned),5.0,293.6,283.0,194.0-336.0K,True,6.542,,,,2525.5,,,
Gd (fixed),10.0,296.1,294.0,n/a (not tunable),True,5.089,3.036,2.415,2.015,1443.4,1168.0,1258.0,1370.1
Gd5Si2Ge2 (fixed comp.),10.0,296.1,276.0,n/a (not tunable),True,,,,,,,,
Gd5(SixGe1-x)4(-Ga) (tuned),10.0,296.1,285.4,20.0-290.0K,True,4.314,,,,1352.3,,,
"La(Fe,Si)13Hy (tuned)",10.0,296.1,285.4,190.0-340.0K,True,6.724,,,,4989.1,,,
"(Mn,Fe)2(P,Si) (tuned)",10.0,296.1,283.7,295.3-331.2K,False,5.089,3.036,2.415,2.015,1443.4,1168.0,1258.0,1370.1
Nanocomposite (LAFESIH 3-phase blend) (tuned),10.0,296.1,285.4,194.0-336.0K,True,4.616,0.0,0.0,0.0,1753.7,863.9,1179.5,1335.2
Gd (fixed),15.0,298.6,294.0,n/a (not tunable),True,1.727,2.664,1.97,1.673,280.5,2033.8,1168.0,1202.1
Gd5Si2Ge2 (fixed comp.),15.0,298.6,276.0,n/a (not tunable),True,,,,,,,,
Gd5(SixGe1-x)4(-Ga) (tuned),15.0,298.6,287.8,20.0-290.0K,True,2.367,,,,581.3,,,
"La(Fe,Si)13Hy (tuned)",15.0,298.6,287.8,190.0-340.0K,True,5.348,,,,4241.0,,,
"(Mn,Fe)2(P,Si) (tuned)",15.0,298.6,286.2,295.3-331.2K,False,1.727,2.664,1.97,1.673,280.5,2033.8,1168.0,1202.1
Nanocomposite (LAFESIH 3-phase blend) (tuned),15.0,298.6,287.8,194.0-336.0K,True,3.029,0.0,,,984.4,551.7,,
Gd (fixed),20.0,301.1,294.0,n/a (not tunable),True,,0.923,1.528,1.32,,1443.4,2187.3,1168.0
Gd5Si2Ge2 (fixed comp.),20.0,301.1,276.0,n/a (not tunable),True,,,,,,,,
Gd5(SixGe1-x)4(-Ga) (tuned),20.0,301.1,290.8,20.0-290.0K,False,,0.923,1.528,1.32,,1443.4,2187.3,1168.0
"La(Fe,Si)13Hy (tuned)",20.0,301.1,290.2,190.0-340.0K,True,4.387,,,,3499.4,,,
"(Mn,Fe)2(P,Si) (tuned)",20.0,301.1,288.7,295.3-331.2K,False,,0.923,1.528,1.32,,1443.4,2187.3,1168.0
Nanocomposite (LAFESIH 3-phase blend) (tuned),20.0,301.1,290.2,194.0-336.0K,True,0.932,,,,204.6,,,
