material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,2.831,2.299,0.4907,1.26,0.653,0.435,0.5665,4.931,12338.52,2073.1
Gd,2.983,0.53,0.4829,12.78,0.622,0.415,1.7884,10.281,15479.65,22084.2
Gd,1.628,0.397,0.4874,1.66,0.665,0.425,0.5585,10.184,5608.12,1580.2
Gd,2.919,0.419,0.4988,2.31,0.708,0.422,0.2634,9.944,13673.16,3912.2
Gd,2.927,2.491,0.4979,13.47,0.605,0.416,1.7324,5.589,18540.8,22832.3
Gd,2.864,0.735,0.4989,1.26,0.707,0.435,1.7371,9.035,10651.1,2096.9
Gd,2.937,0.419,0.4988,3.72,0.708,0.422,0.2634,9.754,13821.5,6331.5
Gd,1.677,0.355,0.4984,5.19,0.618,0.422,1.7353,10.293,5923.62,5082.9
Gd,2.94,0.332,0.4941,6.13,0.623,0.419,1.7907,10.307,13080.13,10438.7
Gd,2.799,1.471,0.4989,3.72,0.663,0.425,0.2381,7.338,14130.02,6034.0
Gd,2.841,2.321,0.4998,7.58,0.625,0.42,1.6994,5.881,16998.1,12472.4
Gd,2.923,4.625,0.499,3.75,0.704,0.422,0.2217,2.445,18165.94,6350.9
Gd,2.924,4.585,0.4795,1.75,0.704,0.416,0.2216,2.231,15835.54,2959.5
Gd,2.82,0.387,0.4625,12.85,0.622,0.415,1.6895,10.375,12922.44,20991.7
Gd,2.845,4.236,0.4795,1.51,0.621,0.431,1.4951,2.189,12527.9,2497.1
Gd,2.998,0.878,0.4886,6.68,0.727,0.416,1.7068,9.298,14828.26,11602.8
Gd,2.999,2.491,0.4977,7.45,0.622,0.416,1.7113,5.367,18097.56,12929.4
Gd,2.871,3.046,0.4915,5.63,0.725,0.42,1.3706,4.323,16923.75,9370.9
Gd,2.997,2.883,0.497,3.05,0.668,0.422,0.4882,4.347,16912.29,5289.1
Gd,2.831,1.277,0.4796,1.24,0.669,0.435,1.4943,7.354,10507.78,2036.6
Gd,2.782,1.471,0.4988,3.46,0.663,0.425,0.206,7.207,13699.82,5582.1
Gd,2.944,2.38,0.476,3.46,0.626,0.423,0.6071,5.284,15758.3,5905.8
Gd,2.797,1.359,0.4979,13.41,0.605,0.425,1.7324,8.565,16934.38,21739.4
Gd,2.794,0.332,0.4988,3.5,0.624,0.42,0.588,10.27,12864.84,5671.9
