material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,1.199,1.547,0.2733,1.16,0.606,0.403,1.7014,5.571,1301.35,821.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.118,1.24,0.4961,14.78,0.765,0.42,1.1423,10.937,36472.03,9576.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.13,3.593,0.4908,2.42,0.89,0.414,0.343,9.338,33032.93,1586.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.217,1.24,0.4255,5.13,0.764,0.392,0.3767,10.413,27476.15,3615.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.13,3.098,0.4908,2.28,0.765,0.414,0.5386,9.599,31267.27,1494.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.144,1.257,0.4088,13.44,0.737,0.43,1.3458,10.893,30067.98,8906.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.552,1.671,0.4898,14.61,0.766,0.413,0.6324,10.419,37440.16,13099.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.116,3.07,0.4957,14.78,0.766,0.414,0.8843,10.119,38283.48,9564.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.113,1.663,0.4911,14.87,0.765,0.42,1.1514,10.834,36846.39,9587.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.129,3.098,0.4957,11.47,0.737,0.414,0.3349,9.78,38195.66,7502.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.12,0.666,0.2931,14.57,0.765,0.408,0.6561,11.006,21491.55,9456.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.552,1.671,0.4913,4.33,0.765,0.428,0.3936,10.079,32248.16,3877.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.124,2.955,0.4908,5.56,0.738,0.42,0.3441,9.939,36019.21,3622.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.22,0.848,0.4939,1.35,0.791,0.414,0.6434,10.426,26277.64,952.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.119,0.741,0.3291,5.56,0.803,0.413,0.778,10.719,20465.25,3607.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.246,1.241,0.4893,9.69,0.835,0.42,1.128,10.808,34491.92,6991.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.128,1.267,0.4979,11.47,0.759,0.413,0.3467,10.52,36198.8,7499.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.246,1.216,0.4907,9.21,0.835,0.392,0.6601,10.634,34014.06,6643.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.11,1.709,0.4957,11.36,0.737,0.391,0.3349,10.299,36279.18,7313.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.071,0.858,0.4939,9.32,0.791,0.391,0.8937,10.703,32059.67,5789.5
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.063,4.984,0.248,1.06,0.879,0.374,1.2545,0.0,0.0,664.8
