material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,1.216,0.374,0.4445,1.74,0.705,0.418,0.7623,9.991,1920.92,1244.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.347,0.372,0.486,1.63,0.863,0.464,0.6262,9.365,6513.49,1290.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.448,3.005,0.4978,2.73,0.904,0.413,0.3289,8.873,33454.53,2286.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.22,1.416,0.4936,14.5,0.813,0.421,0.5903,9.967,36977.07,10239.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.121,0.416,0.4956,14.2,0.809,0.422,1.7025,10.491,30233.32,9230.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.355,3.518,0.4983,14.27,0.942,0.392,0.92,6.228,39197.94,19353.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.143,2.593,0.4972,14.5,0.94,0.42,0.5903,9.12,38314.29,9604.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.154,2.705,0.4936,1.03,0.779,0.418,0.702,9.253,25684.59,687.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.221,1.33,0.4913,9.4,0.83,0.392,0.5961,10.118,34556.53,6645.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.3,0.335,0.4906,2.85,0.651,0.424,0.7005,10.506,26861.24,2141.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.147,3.514,0.4982,9.09,0.816,0.393,0.66,8.733,37425.81,6044.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.182,0.338,0.3278,2.38,0.83,0.418,0.5724,10.528,18046.73,1631.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.071,1.321,0.4985,5.18,0.845,0.43,0.5206,10.257,31696.13,3215.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.0,1.136,0.4913,2.34,0.841,0.418,0.4417,10.279,27001.46,1357.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.142,4.963,0.4906,2.13,0.865,0.378,0.3255,7.806,32667.14,1406.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.188,3.043,0.4997,2.39,0.904,0.414,0.4301,9.306,32254.47,1641.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.074,2.67,0.4937,3.71,0.887,0.432,0.7005,9.742,33304.78,2306.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.069,4.235,0.4985,5.21,0.844,0.418,0.5796,8.752,37088.64,3232.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.298,1.37,0.4908,9.71,0.636,0.424,0.598,10.157,35376.04,7295.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.097,0.938,0.4952,6.01,0.845,0.42,0.5206,10.307,30136.74,3819.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.13,4.235,0.4996,9.27,0.844,0.425,0.5202,8.248,38424.33,6066.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.144,2.566,0.4937,13.42,0.83,0.392,1.699,9.193,36686.71,8897.7
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.063,4.984,0.248,1.06,0.879,0.374,1.2545,0.0,0.0,664.8
