family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
Gd,3,1.583,0.506,0.491,7.43,0.621,0.421,1.7126,4.692,12719.6,4945.2
Gd,3,1.221,0.428,0.4999,8.09,0.621,0.418,0.4668,4.513,13248.9,4265.2
Gd,3,1.142,2.25,0.439,2.37,0.682,0.388,0.7033,3.848,12306.9,1179.7
Gd,3,1.211,4.827,0.4366,2.25,0.602,0.415,0.2262,2.322,14741.4,1177.7
Gd,3,1.339,2.29,0.4874,2.62,0.854,0.413,0.5964,3.7,14237.2,1499.0
Gd,3,2.125,2.666,0.4948,7.38,0.866,0.419,0.732,2.584,17920.0,6441.6
Gd,3,1.108,1.275,0.4428,5.15,0.811,0.388,0.7768,4.409,13213.8,2490.9
Gd,3,1.234,0.436,0.4912,8.03,0.805,0.389,1.6903,4.723,12360.2,4272.4
Gd,3,1.221,0.445,0.4244,2.09,0.816,0.388,0.4674,4.792,10816.7,1103.3
Gd,3,1.219,1.552,0.4998,7.54,0.657,0.418,0.4574,4.129,16769.6,3967.0
Gd,3,1.105,2.631,0.4827,7.07,0.807,0.417,0.4688,3.641,16928.4,3410.4
Gd,3,1.221,2.311,0.4874,14.33,0.918,0.418,0.5964,3.442,17756.3,7553.1
Gd,3,1.143,2.25,0.439,5.19,0.682,0.388,0.658,3.836,14450.1,2582.0
Gd,3,1.339,2.25,0.4874,3.75,0.682,0.388,0.7033,3.729,15088.0,2145.9
Gd,3,1.108,1.275,0.4428,2.33,0.811,0.388,0.7768,4.432,11037.2,1125.6
