family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
Gd,1,1.296,2.583,0.4896,1.37,0.854,0.421,1.3205,5.319,6304.3,1041.0
Gd,1,1.276,0.755,0.3373,1.19,0.916,0.476,1.1697,8.028,3994.1,895.6
Gd,1,1.402,4.03,0.4997,1.02,0.771,0.42,1.2217,3.364,6295.7,836.7
Gd,1,1.29,0.462,0.4896,1.37,0.851,0.421,1.353,9.572,6271.7,1036.5
"La(Fe,Si)13Hy",1,1.251,0.506,0.3264,7.01,0.873,0.421,1.9717,10.407,19003.2,5160.8
"La(Fe,Si)13Hy",1,1.225,1.675,0.3876,1.76,0.74,0.418,1.4934,9.613,19401.6,1266.8
"La(Fe,Si)13Hy",1,1.589,0.766,0.4234,7.43,0.915,0.421,1.6414,10.363,26645.2,6901.6
"La(Fe,Si)13Hy",1,1.588,1.301,0.4284,2.92,0.737,0.449,1.4344,9.534,21992.2,2711.2
"La(Fe,Si)13Hy",1,1.515,3.887,0.4902,1.38,0.622,0.31,1.0618,5.401,18504.1,1221.9
"La(Fe,Si)13Hy",1,1.219,2.53,0.4912,7.43,0.711,0.419,1.7155,9.556,35327.0,5334.2
"La(Fe,Si)13Hy",1,1.219,0.499,0.1562,5.36,0.742,0.389,1.7179,10.34,10037.7,3846.8
"La(Fe,Si)13Hy",1,1.225,2.513,0.3876,3.05,0.707,0.418,1.4344,9.372,25263.8,2202.8
"La(Fe,Si)13Hy",1,1.219,1.263,0.491,7.47,0.699,0.421,1.9424,10.313,32456.1,5363.6
"La(Fe,Si)13Hy",1,1.216,3.974,0.4966,6.84,0.623,0.419,1.1425,8.482,37062.9,4898.8
"La(Fe,Si)13Hy",1,1.606,2.61,0.4906,1.67,0.61,0.469,0.1749,7.991,25548.5,1571.8
"La(Fe,Si)13Hy",1,1.52,0.425,0.4825,1.42,0.71,0.312,1.6955,7.887,15714.2,1262.0
"La(Fe,Si)13Hy",1,1.025,0.419,0.1394,5.33,0.71,0.389,1.7639,10.388,8801.8,3237.5
"La(Fe,Si)13Hy",1,1.216,3.894,0.466,4.92,0.691,0.421,1.7195,8.461,33057.1,3520.8
"La(Fe,Si)13Hy",2,1.703,3.763,0.4901,5.27,0.727,0.415,0.476,4.994,42522.5,10489.1
"La(Fe,Si)13Hy",2,1.257,4.402,0.4216,1.87,0.735,0.446,0.7619,5.063,31443.1,2766.0
"La(Fe,Si)13Hy",2,1.277,4.501,0.4932,1.87,0.746,0.446,0.7449,5.155,35915.1,2808.5
"La(Fe,Si)13Hy",2,2.471,1.463,0.4907,8.05,0.909,0.414,1.511,6.411,40372.1,23094.1
"La(Fe,Si)13Hy",2,1.294,1.571,0.4989,5.27,0.729,0.415,0.476,6.992,38525.0,8018.2
"La(Fe,Si)13Hy",2,1.393,2.972,0.4907,7.43,0.779,0.412,0.2256,5.76,42840.4,12150.6
"La(Fe,Si)13Hy",2,1.393,4.33,0.4858,3.62,0.779,0.422,0.7665,5.164,40391.6,5919.6
"La(Fe,Si)13Hy",2,1.256,1.435,0.4945,1.91,0.746,0.424,0.7431,7.054,30605.5,2822.3
"La(Fe,Si)13Hy",3,2.413,4.542,0.4955,2.72,0.727,0.444,0.2323,2.252,42791.1,11419.0
"La(Fe,Si)13Hy",3,1.827,1.265,0.4955,14.6,0.853,0.389,0.3438,4.836,44219.9,46697.1
"La(Fe,Si)13Hy",3,1.284,2.851,0.4907,7.3,0.871,0.424,0.7915,4.693,43961.0,16532.8
"La(Fe,Si)13Hy",3,1.786,4.296,0.4929,7.44,0.872,0.39,0.7922,3.167,44933.1,23255.5
"La(Fe,Si)13Hy",3,1.291,2.556,0.4928,14.41,0.731,0.447,0.5973,4.456,44694.8,32814.0
"La(Fe,Si)13Hy",3,1.825,4.638,0.497,14.61,0.853,0.386,0.3901,2.67,46193.5,46679.3
"(Mn,Fe)2(P,Si)",1,2.728,0.319,0.4938,2.43,0.733,0.444,0.5601,10.102,10810.8,3840.5
Mn1-xCuxCoGe,1,1.146,0.313,0.4945,2.11,0.721,0.389,1.1833,9.922,1587.5,1429.2
