material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,1.26,0.565,0.274,2.38,0.62,0.482,1.7126,8.027,1458.86,430.3
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.352,0.509,0.4238,2.62,0.622,0.419,1.1965,9.175,5949.04,504.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.186,1.529,0.4247,8.13,0.854,0.397,0.3381,8.501,31431.94,2331.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.22,0.505,0.4918,13.84,0.619,0.418,0.5899,9.359,32846.46,4028.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.181,2.539,0.4923,7.32,0.662,0.421,0.6069,7.642,37372.36,2094.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.317,4.863,0.4495,1.68,0.818,0.489,1.3637,5.855,23236.11,296.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.356,0.595,0.4162,3.33,0.731,0.49,1.4021,8.469,18617.16,602.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.402,0.505,0.4918,13.76,0.733,0.418,1.3876,9.537,31723.11,2568.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.567,1.348,0.4908,14.46,0.819,0.391,0.5899,8.937,36358.13,3004.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.558,1.385,0.4221,8.1,0.778,0.462,0.3384,8.698,28860.6,1674.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.982,2.549,0.4923,3.25,0.662,0.42,0.6069,7.837,33275.98,847.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.326,0.575,0.4232,3.45,0.731,0.481,0.3289,8.671,20815.93,611.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.22,0.594,0.4918,3.65,0.732,0.418,0.5899,9.339,27904.76,1062.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.18,4.432,0.4923,7.32,0.728,0.422,0.6069,5.454,38564.57,2093.4
