span_K,Graded_1stage_COP,Graded_1stage_Qc_W,Graded_1stage_n_fallback_to_Gd,Graded_2stage_COP,Graded_2stage_Qc_W,Graded_2stage_n_fallback_to_Gd,Graded_3stage_COP,Graded_3stage_Qc_W,Graded_3stage_n_fallback_to_Gd,Graded_4stage_COP,Graded_4stage_Qc_W,Graded_4stage_n_fallback_to_Gd
5,6.396,2127.6,0,3.896,2520.4,0,2.78,2641.1,0,2.16,2707.6,0
6,5.937,1978.3,0,3.746,2437.4,0,2.709,2594.4,0,2.118,2675.6,0
7,5.498,1821.2,0,3.607,2363.7,0,2.64,2545.3,0,2.077,2636.3,0
8,5.085,1663.4,0,3.468,2280.3,0,2.57,2486.6,0,2.036,2594.4,0
9,4.695,1509.2,0,3.343,2206.5,0,2.507,2437.4,0,1.996,2552.8,0
10,4.314,1352.3,0,3.221,2127.6,0,2.443,2388.1,0,1.959,2520.4,0
11,3.939,1195.3,0,3.102,2051.7,0,2.384,2339.2,0,1.922,2478.8,0
12,3.566,1040.3,0,2.992,1978.3,0,2.307,2280.3,1,1.873,2437.4,1
13,3.2,893.0,0,2.883,1894.9,0,2.223,2231.1,1,1.82,2395.5,1
14,2.797,735.9,0,2.636,1821.2,1,2.136,2181.9,1,1.768,2363.7,1
15,2.367,581.3,0,2.447,1737.5,1,2.046,2127.6,1,1.714,2322.0,1
16,1.878,423.8,0,2.246,1663.4,1,1.952,2076.6,1,1.65,2280.3,2
17,1.311,267.4,0,2.018,1583.1,1,1.853,2027.0,1,1.582,2248.4,2
18,0.61,109.8,0,1.747,1509.2,1,1.746,1978.3,1,1.511,2206.5,2
19,,,0,1.399,1435.8,1,1.625,1919.5,1,1.435,2165.1,2
20,,,1,0.894,1352.3,1,1.459,1870.2,2,1.354,2127.6,2
