material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.03,1.281,0.4683,4.43,0.777,0.435,0.63,10.238,28446.92,1048.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.163,0.732,0.4964,14.94,0.681,0.421,1.6685,10.51,34332.38,4486.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.015,1.493,0.4938,8.46,0.685,0.458,0.5545,9.92,33340.94,1949.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.005,3.805,0.4746,3.16,0.684,0.419,0.1488,8.947,33862.91,715.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.004,2.881,0.491,3.64,0.685,0.418,0.5509,9.773,33781.03,820.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.165,0.732,0.2737,7.93,0.608,0.421,1.7126,10.462,18634.51,2390.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.038,1.254,0.4985,14.49,0.788,0.395,1.9418,10.192,35568.79,3480.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.235,1.275,0.4985,14.49,0.732,0.411,1.7388,10.205,36398.17,4931.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.03,3.347,0.4946,2.84,0.746,0.41,0.6253,9.456,33187.62,672.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.317,2.497,0.4994,14.13,0.671,0.42,1.9956,9.136,37700.96,5533.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.03,3.342,0.4945,5.37,0.777,0.435,0.8052,9.354,35564.68,1272.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.053,1.268,0.4887,7.42,0.67,0.421,1.7372,10.376,32310.4,1832.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.164,0.732,0.4833,2.42,0.681,0.453,1.6678,10.015,23211.09,729.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.017,2.793,0.4908,7.36,0.749,0.418,0.4945,9.613,36494.97,1699.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.015,1.493,0.4938,2.96,0.751,0.458,0.5545,9.752,25798.49,682.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.03,0.732,0.4964,14.28,0.681,0.421,1.6685,10.528,33953.39,3382.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.011,2.487,0.4995,13.98,0.682,0.42,0.1488,8.086,38382.83,3197.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.005,2.77,0.491,14.76,0.681,0.418,0.4945,9.048,37864.75,3339.3
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.022,3.7,0.2092,1.09,0.752,0.462,0.5569,0.0,0.0,268.6
