span_K,COP_electrical_mean,COP_electrical_p05,COP_electrical_p95,Qc_mean_W,Qc_p05_W,Qc_p95_W
5,1.977,1.553,2.55,1115.7,1115.7,1115.7
6,2.497,2.062,3.006,1546.0,1546.0,1546.0
7,2.948,2.405,3.544,1988.7,1988.7,1988.7
8,2.646,2.201,3.146,1751.7,1751.7,1751.7
9,2.35,1.949,2.825,1515.5,1515.5,1515.5
10,2.053,1.676,2.557,1280.1,1280.1,1280.1
11,1.752,1.384,2.286,1045.7,1045.7,1045.7
12,1.441,1.091,2.067,812.3,812.3,812.3
13,1.111,0.793,1.841,579.8,579.8,579.8
14,0.75,0.488,1.516,348.2,348.2,348.2
15,0.333,0.17,0.796,117.8,117.8,117.8
16,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan,nan
20,nan,nan,nan,nan,nan,nan
