material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.013,0.644,0.489,10.12,0.706,0.408,1.8347,9.516,30207.03,1387.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.184,2.649,0.4991,4.32,0.885,0.404,0.5836,8.829,34761.46,686.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.375,1.668,0.4954,14.94,0.625,0.432,0.6417,8.851,37437.78,2738.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.138,0.423,0.4835,1.15,0.718,0.414,0.6309,9.528,25480.78,175.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.73,2.559,0.4943,10.5,0.881,0.42,0.1332,6.211,39282.46,3738.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.231,0.396,0.4833,5.5,0.637,0.415,0.637,9.468,26849.21,908.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.265,2.0,0.4966,5.14,0.703,0.416,0.6328,9.093,34350.76,870.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.183,3.446,0.5,3.8,0.761,0.429,0.0671,7.188,35887.26,603.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.369,1.031,0.4916,13.54,0.886,0.404,1.8186,9.382,34963.55,2471.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.055,3.547,0.4991,10.35,0.882,0.429,0.0587,5.32,38325.98,1475.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.032,3.95,0.474,1.95,0.671,0.431,0.0564,7.44,31464.72,271.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.057,2.624,0.4835,13.99,0.876,0.41,0.6204,8.46,37130.23,1997.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.702,2.458,0.4928,15.0,0.876,0.436,0.6774,6.838,39062.27,5286.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.056,2.47,0.4985,6.31,0.881,0.409,0.3416,8.908,36287.31,900.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.057,1.648,0.4915,2.48,0.882,0.405,0.1351,8.765,27370.92,353.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.141,3.434,0.4995,5.3,0.703,0.418,0.6329,8.443,36622.86,812.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.046,1.417,0.4995,10.63,0.714,0.42,1.7251,9.362,35374.43,1502.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.105,2.473,0.499,3.53,0.885,0.415,0.62,9.002,33229.52,526.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.058,3.445,0.4966,9.93,0.732,0.427,0.6364,8.242,37808.63,1419.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.227,3.547,0.4997,5.48,0.714,0.429,0.0587,6.362,37265.54,901.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.032,3.95,0.4749,1.95,0.648,0.431,0.3419,8.257,31056.13,271.7
