span_K,VaporCompression_COP,LiquidCooling_COP,AMR_1stage_COP,AMR_1stage_Qc_W,AMR_2stage_COP,AMR_2stage_Qc_W,AMR_3stage_COP,AMR_3stage_Qc_W,AMR_4stage_COP,AMR_4stage_Qc_W
5,24.46,24.78,5.635,1168.0,4.092,1370.1,2.869,1482.6,2.293,1539.0
6,20.38,23.15,6.541,1643.1,3.866,1302.8,2.927,1437.5,2.264,1505.1
7,17.47,21.99,7.081,2152.6,3.651,1235.7,2.922,1392.6,2.25,1471.3
8,15.29,21.11,6.461,1915.3,3.444,1168.7,2.8,1347.6,2.251,1437.5
9,13.59,20.43,5.871,1678.9,3.245,1101.8,2.681,1302.8,2.239,1403.8
10,12.23,19.89,5.296,1443.4,3.185,1168.0,2.565,1258.0,2.159,1370.1
11,11.12,19.45,4.717,1208.8,3.211,1374.8,2.452,1213.3,2.079,1336.4
12,10.19,19.08,4.113,975.2,3.208,1643.1,2.34,1168.7,2.001,1302.8
13,9.41,18.76,3.453,742.6,3.176,2020.2,2.229,1124.1,1.922,1269.2
14,8.73,18.49,2.686,511.0,3.016,2152.6,2.117,1079.6,1.844,1235.7
15,8.15,18.26,1.725,280.5,2.775,2033.8,2.062,1168.0,1.766,1202.1
16,7.64,18.06,0.386,51.1,2.518,1915.3,2.003,1297.5,1.687,1168.7
17,7.19,17.88,,,2.233,1797.0,1.932,1462.2,1.606,1135.2
18,6.79,17.72,,,1.901,1678.9,1.838,1643.1,1.523,1101.8
19,6.44,17.57,,,1.488,1561.0,1.722,1876.3,1.441,1089.3
20,6.11,17.45,,,0.922,1443.4,1.576,2187.3,1.371,1168.0
