family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
"(Mn,Fe)2(P,Si)",1,2.197,4.611,0.4895,2.62,0.841,0.388,1.2289,2.6,10972.7,787.6
"(Mn,Fe)2(P,Si)",1,1.605,0.631,0.4168,1.45,0.747,0.364,1.3723,9.147,3901.9,325.7
"(Mn,Fe)2(P,Si)",1,1.514,4.906,0.3802,2.13,0.841,0.386,1.4609,2.096,4485.8,454.2
"(Mn,Fe)2(P,Si)",1,2.853,1.646,0.4419,2.26,0.838,0.445,0.1455,6.154,11597.5,869.0
"(Mn,Fe)2(P,Si)",1,1.755,0.417,0.2748,2.66,0.909,0.425,1.071,10.06,3583.3,648.9
"(Mn,Fe)2(P,Si)",1,2.924,0.403,0.4746,5.86,0.856,0.407,0.4822,9.993,13029.1,2301.4
"(Mn,Fe)2(P,Si)",1,1.527,1.711,0.4744,2.16,0.838,0.445,0.4746,7.0,4791.2,464.5
"(Mn,Fe)2(P,Si)",1,2.848,1.48,0.4906,7.47,0.66,0.389,0.4046,7.711,16195.2,2861.8
"(Mn,Fe)2(P,Si)",1,2.858,0.417,0.4458,2.66,0.889,0.425,1.103,10.118,11329.6,1023.1
"(Mn,Fe)2(P,Si)",1,2.807,0.972,0.4942,7.46,0.856,0.415,1.9621,9.244,14547.6,2819.1
"(Mn,Fe)2(P,Si)",1,1.761,0.395,0.2748,14.59,0.913,0.425,1.6656,10.604,4632.7,3567.6
