material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.102,0.333,0.4885,1.05,0.649,0.436,0.3282,9.943,6924.36,168.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.033,1.941,0.4828,12.55,0.703,0.402,0.5555,9.757,36214.49,1753.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.742,4.855,0.498,5.51,0.755,0.418,0.2235,6.294,38496.27,1267.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.033,2.457,0.4995,4.74,0.764,0.405,0.2119,9.65,35158.65,661.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.083,1.174,0.487,5.13,0.752,0.41,0.4672,10.283,30312.57,750.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.033,1.198,0.4992,13.84,0.633,0.405,1.6731,10.312,35819.76,1933.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.005,2.422,0.4998,12.74,0.762,0.414,1.6263,9.599,37375.0,1734.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.116,1.229,0.5,1.1,0.766,0.405,0.0861,9.832,27861.05,165.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.004,2.018,0.4796,4.74,0.764,0.405,0.2066,9.832,33001.14,644.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.033,3.65,0.487,4.86,0.766,0.405,0.124,8.575,35938.14,678.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.023,4.849,0.498,5.5,0.612,0.409,0.2235,8.228,37688.48,761.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.805,4.847,0.4999,14.55,0.917,0.421,0.1462,5.256,39607.42,3463.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.794,1.096,0.4996,14.82,0.705,0.404,1.5768,10.127,36638.68,3508.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.079,0.418,0.4797,1.27,0.762,0.424,0.4636,10.517,25866.1,185.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.005,3.565,0.4998,12.66,0.758,0.415,1.5575,8.772,37954.05,1723.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.17,4.587,0.4993,2.08,0.771,0.409,0.2613,8.232,34124.28,327.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.161,3.58,0.4998,1.73,0.756,0.403,0.4971,8.839,30392.29,269.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.101,3.576,0.4998,5.86,0.615,0.418,0.1627,8.648,37458.11,869.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.079,0.657,0.4999,12.39,0.762,0.425,1.6193,10.52,32668.03,1803.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.17,3.259,0.4998,14.13,0.756,0.409,0.5022,8.545,38781.31,2220.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.107,2.455,0.4995,5.81,0.61,0.408,0.1506,9.185,36190.62,866.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.033,1.176,0.4999,6.3,0.634,0.405,0.4761,10.31,32434.99,879.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.166,2.126,0.4995,5.57,0.768,0.42,0.4636,9.94,35292.74,872.9
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.001,4.632,0.1546,1.0,0.617,0.483,1.9508,0.0,0.0,148.0
