material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,2.994,3.335,0.4425,5.83,0.709,0.406,0.216,3.556,16847.2,2343.2
Gd,2.074,4.325,0.4465,1.33,0.697,0.426,0.0961,2.597,8951.95,378.8
Gd,2.994,2.61,0.4429,2.51,0.636,0.415,0.2156,4.456,14719.37,1010.3
Gd,1.724,1.601,0.49,1.03,0.632,0.418,0.6236,7.424,6060.91,246.4
Gd,1.932,0.392,0.4704,13.1,0.638,0.419,1.4001,10.352,7987.47,3490.6
Gd,1.676,0.523,0.4703,1.0,0.638,0.422,0.1176,9.151,5892.68,234.8
Gd,2.122,0.319,0.4465,1.17,0.827,0.418,1.4015,10.155,6871.4,339.3
Gd,1.526,0.35,0.454,4.92,0.606,0.414,1.8494,10.284,4486.61,1056.2
Gd,2.8,1.238,0.4844,1.02,0.706,0.448,0.1615,7.716,12274.57,384.7
Gd,2.9,2.592,0.4295,4.99,0.824,0.406,0.3882,4.812,15221.91,1943.1
Gd,2.776,1.192,0.4682,5.02,0.698,0.436,0.1551,7.528,13642.01,1876.8
Gd,2.994,1.465,0.4466,12.75,0.689,0.406,0.1614,6.634,16986.2,5121.6
Gd,2.577,0.39,0.4704,13.1,0.638,0.419,1.017,10.291,11956.32,4566.9
Gd,2.774,1.54,0.4714,7.39,0.707,0.392,1.4019,7.701,14908.08,2760.7
Gd,2.974,0.406,0.4682,6.08,0.698,0.426,0.1489,8.479,13196.76,2426.9
Gd,2.901,0.318,0.4591,3.55,0.623,0.402,1.3548,10.272,11824.24,1383.9
Gd,2.865,1.227,0.443,10.18,0.709,0.404,1.4118,8.618,15126.61,3921.6
Gd,2.997,0.39,0.4704,13.1,0.638,0.419,1.017,10.291,14325.38,5269.1
Gd,2.994,4.162,0.4464,1.36,0.636,0.415,0.0944,2.279,14320.32,545.2
Gd,2.997,4.529,0.4771,2.88,0.696,0.414,0.2037,2.362,17475.54,1156.4
Gd,3.0,0.601,0.4878,13.14,0.638,0.418,1.017,10.141,16463.41,5289.7
Gd,2.994,1.371,0.4704,12.76,0.656,0.427,1.0289,8.29,17529.59,5125.0
Gd,2.99,0.406,0.4682,1.01,0.7,0.426,0.1489,9.919,13173.99,406.5
Gd,2.994,3.299,0.4425,12.68,0.709,0.406,0.2158,3.591,17441.58,5092.9
